"","rii","X","Region","site","ID","Microsite","RDM","x","y","z","bur.drip","bur.buf","max.veg.height","rdm.cov","green.cov","non.veg.cov","largewood.cov","lrgrocks.cov","AT","PF","PF.out","PF.in","RDM.date","comments","ESI","Max","arid","label","uniID"
"233",-0.20719543096167,233,"Cuyama","C1",25,"ephedra",3.9423,320,320,185,6,0,34,70,0,30,NA,NA,NA,NA,NA,NA,"june.29",NA,0.1145,30.9,22.7916666666667,"Semi-arid 1","C1 25"
"235",-0.673962381773375,235,"Cuyama","C1",26,"ephedra",1.6736,380,280,115,2,0,16,20,0,75,5,NA,NA,"Y","june.28","july.1","july.1",NA,0.1145,30.9,22.7916666666667,"Semi-arid 1","C1 26"
"237",-0.422156334231806,237,"Cuyama","C1",27,"ephedra",1.0719,380,315,190,3,0,30,40,0,60,NA,NA,NA,NA,NA,NA,"june.29",NA,0.1145,30.9,22.7916666666667,"Semi-arid 1","C1 27"
"239",0.239557201449448,239,"Cuyama","C1",28,"ephedra",3.1129,470,405,275,1,0,34,75,0,25,NA,NA,"Y",NA,NA,NA,"june.29",NA,0.1145,30.9,22.7916666666667,"Semi-arid 1","C1 28"
"241",0.764899242532514,241,"Cuyama","C1",29,"ephedra",1.2349,485,375,265,5,0,30,45,0,55,NA,NA,"Y",NA,NA,NA,"june.29",NA,0.1145,30.9,22.7916666666667,"Semi-arid 1","C1 29"
"243",-1,243,"Cuyama","C1",30,"ephedra",0,425,375,190,1,0,NA,0,0,0,0,NA,NA,"Y","june.28","july.1","july.1","0 rdm",0.1145,30.9,22.7916666666667,"Semi-arid 1","C1 30"
"245",0.467902613357159,245,"Cuyama","C2",1,"ephedra",3.2859,355,290,160,0,0,28,40,0,60,NA,NA,NA,NA,NA,NA,"june.29",NA,0.0851,30.9,22.4896265560166,"Semi-arid 2","C2 1"
"247",-0.0840940458606746,247,"Cuyama","C2",2,"ephedra",3.7826,295,250,150,0,0,29,70,0,10,20,NA,NA,"Y","june.28","july.1","july.1",NA,0.0851,30.9,22.4896265560166,"Semi-arid 2","C2 2"
"249",0.802688486265342,249,"Cuyama","C2",3,"ephedra",5.3977,460,450,130,2,0,44,95,0,5,NA,NA,NA,NA,NA,NA,"june.29",NA,0.0851,30.9,22.4896265560166,"Semi-arid 2","C2 3"
"251",0.80424570612272,251,"Cuyama","C2",4,"ephedra",13.5774,305,180,130,1,1,53,100,0,0,NA,NA,NA,NA,NA,NA,"june.29",NA,0.0851,30.9,22.4896265560166,"Semi-arid 2","C2 4"
"253",0.712190143403276,253,"Cuyama","C2",5,"ephedra",4.949,230,135,115,0,0,30,60,0,40,NA,NA,NA,NA,NA,NA,"june.29",NA,0.0851,30.9,22.4896265560166,"Semi-arid 2","C2 5"
"255",0.607483337551675,255,"Cuyama","C2",6,"ephedra",3.8107,420,375,185,1,0,33,65,0,0,35,NA,NA,"Y","june.28","july.1","july.1",NA,0.0851,30.9,22.4896265560166,"Semi-arid 2","C2 6"
"257",0.827230968202292,257,"Cuyama","C2",7,"ephedra",8.1944,460,405,120,2,0,39,90,0,10,NA,NA,NA,NA,NA,NA,"june.29",NA,0.0851,30.9,22.4896265560166,"Semi-arid 2","C2 7"
"259",0.634813394305945,259,"Cuyama","C2",8,"ephedra",5.5412,375,305,115,1,0,45,85,0,15,NA,NA,NA,NA,NA,NA,"june.29",NA,0.0851,30.9,22.4896265560166,"Semi-arid 2","C2 8"
"261",0.370786066460897,261,"Cuyama","C2",9,"ephedra",3.4197,290,210,120,2,1,33,40,0,60,NA,NA,"Y",NA,NA,NA,"june.29",NA,0.0851,30.9,22.4896265560166,"Semi-arid 2","C2 9"
"263",0.766232599910193,263,"Cuyama","C2",10,"ephedra",1.9667,435,425,155,2,2,32,50,0,35,15,NA,NA,"Y","june.28","july.1","july.1",NA,0.0851,30.9,22.4896265560166,"Semi-arid 2","C2 10"
"265",0.723005627275736,265,"Cuyama","C2",11,"ephedra",2.6026,440,325,170,0,2,29,25,0,75,NA,NA,NA,NA,NA,NA,"june.29",NA,0.0851,30.9,22.4896265560166,"Semi-arid 2","C2 11"
"267",0.706586066959756,267,"Cuyama","C2",12,"ephedra",8.0742,455,395,160,2,1,40,85,0,15,NA,NA,NA,NA,NA,NA,"june.29",NA,0.0851,30.9,22.4896265560166,"Semi-arid 2","C2 12"
"269",-0.446089597570235,269,"Cuyama","C2",13,"ephedra",0.2918,290,290,115,1,1,23,8,0,52,40,NA,NA,NA,NA,NA,"june.29",NA,0.0851,30.9,22.4896265560166,"Semi-arid 2","C2 13"
"271",0.634444103194103,271,"Cuyama","C2",14,"ephedra",4.2574,265,210,180,4,0,46,80,0,20,NA,NA,NA,"Y","june.28","july.1","july.1",NA,0.0851,30.9,22.4896265560166,"Semi-arid 2","C2 14"
"273",0.652790312258996,273,"Cuyama","C2",15,"ephedra",5.0363,435,420,155,0,0,44,50,0,20,30,NA,NA,NA,NA,NA,"june.29",NA,0.0851,30.9,22.4896265560166,"Semi-arid 2","C2 15"
"275",0.81771614897722,275,"Cuyama","C2",16,"ephedra",8.0553,330,300,155,1,3,45,95,0,5,NA,NA,NA,NA,NA,NA,"june.29",NA,0.0851,30.9,22.4896265560166,"Semi-arid 2","C2 16"
"277",-0.546388973140565,277,"Cuyama","C2",17,"ephedra",0.673,410,355,195,0,1,18,20,0,80,NA,NA,NA,NA,NA,NA,"june.29",NA,0.0851,30.9,22.4896265560166,"Semi-arid 2","C2 17"
"279",-0.798860579205571,279,"Cuyama","C2",18,"ephedra",0.1271,530,510,120,0,2,11,5,0,95,NA,NA,NA,"Y","june.28","july.1","july.1",NA,0.0851,30.9,22.4896265560166,"Semi-arid 2","C2 18"
"281",-1,281,"Cuyama","C2",19,"ephedra",0,260,240,140,0,0,10,4,0,96,NA,NA,NA,NA,NA,NA,"june.29",NA,0.0851,30.9,22.4896265560166,"Semi-arid 2","C2 19"
"283",0.88064922914209,283,"Cuyama","C2",20,"ephedra",6.9348,425,380,190,0,0,15,50,0,30,20,NA,NA,NA,NA,NA,"june.29",NA,0.0851,30.9,22.4896265560166,"Semi-arid 2","C2 20"
"285",-0.124431311852165,285,"Cuyama","C2",21,"ephedra",0.9334,255,210,145,1,1,30,20,0,80,NA,NA,NA,NA,NA,NA,"june.29",NA,0.0851,30.9,22.4896265560166,"Semi-arid 2","C2 21"
"287",0.598793271574842,287,"Cuyama","C2",22,"ephedra",2.6233,325,265,165,0,0,22,60,0,40,NA,NA,NA,"Y","june.28","july.1","july.1",NA,0.0851,30.9,22.4896265560166,"Semi-arid 2","C2 22"
"289",-0.168738898756661,289,"Cuyama","C2",23,"ephedra",1.6146,295,245,120,0,0,16,30,0,70,NA,NA,NA,NA,NA,NA,"june.29",NA,0.0851,30.9,22.4896265560166,"Semi-arid 2","C2 23"
"291",0.0254023351214894,291,"Cuyama","C2",24,"ephedra",1.9497,605,510,155,0,1,17,60,0,40,NA,NA,"Y",NA,NA,NA,"june.29",NA,0.0851,30.9,22.4896265560166,"Semi-arid 2","C2 24"
"293",0.770223807979241,293,"Cuyama","C2",25,"ephedra",1.3644,280,240,175,0,0,30,35,0,10,55,NA,NA,NA,NA,NA,"june.29","woody cover is yucca",0.0851,30.9,22.4896265560166,"Semi-arid 2","C2 25"
"295",0.570212329469689,295,"Cuyama","C2",26,"ephedra",0.7654,350,340,165,0,0,26,60,0,10,30,NA,NA,"Y","june.28","july.1","july.1",NA,0.0851,30.9,22.4896265560166,"Semi-arid 2","C2 26"
"297",0.855902266705917,297,"Cuyama","C2",27,"ephedra",3.7827,355,265,130,1,1,26,55,0,40,5,NA,NA,NA,NA,NA,"june.29",NA,0.0851,30.9,22.4896265560166,"Semi-arid 2","C2 27"
"299",0.978427916813536,299,"Cuyama","C2",28,"ephedra",4.2096,480,415,160,0,0,30,30,0,70,NA,NA,NA,NA,NA,NA,"june.29",NA,0.0851,30.9,22.4896265560166,"Semi-arid 2","C2 28"
"301",0.791926666298525,301,"Cuyama","C2",29,"ephedra",1.6225,430,420,195,3,0,37,80,0,20,NA,NA,"Y","Y","june.28","july.1","july.1",NA,0.0851,30.9,22.4896265560166,"Semi-arid 2","C2 29"
"303",0.711355047687601,303,"Cuyama","C2",30,"ephedra",0.951,580,460,255,1,0,23,35,0,65,NA,NA,NA,NA,NA,NA,"june.29",NA,0.0851,30.9,22.4896265560166,"Semi-arid 2","C2 30"
"305",0.218105065666041,305,"Cuyama","C3",1,"ephedra",1.0388,290,285,210,0,0,45,25,0,75,NA,NA,NA,NA,NA,NA,"june.30",NA,0.087,31.5,21.198347107438,"Semi-arid 3","C3 1"
"307",-0.112405358182877,307,"Cuyama","C3",2,"ephedra",1.143,310,290,165,2,0,31,45,0,55,NA,NA,NA,"Y","june.28","july.1","july.1",NA,0.087,31.5,21.198347107438,"Semi-arid 3","C3 2"
"309",-0.481057268722467,309,"Cuyama","C3",3,"ephedra",0.7657,390,360,140,0,2,22,25,0,75,NA,NA,NA,NA,NA,NA,"june.30",NA,0.087,31.5,21.198347107438,"Semi-arid 3","C3 3"
"311",-0.361122786498785,311,"Cuyama","C3",4,"ephedra",1.748,180,160,160,0,0,27,45,0,55,NA,NA,"Y",NA,NA,NA,"june.30",NA,0.087,31.5,21.198347107438,"Semi-arid 3","C3 4"
"313",0.165793173974179,313,"Cuyama","C3",5,"ephedra",0.912,485,460,205,1,1,31,35,0,65,NA,NA,NA,NA,NA,NA,"june.30",NA,0.087,31.5,21.198347107438,"Semi-arid 3","C3 5"
"315",-0.637627606939312,315,"Cuyama","C3",6,"ephedra",0.2893,235,220,105,1,0,28,25,0,75,NA,NA,NA,"N","june.28","july.1","july.1",NA,0.087,31.5,21.198347107438,"Semi-arid 3","C3 6"
"317",-0.347160411823315,317,"Cuyama","C3",7,"ephedra",1.9657,450,415,240,0,2,59,95,0,5,NA,NA,NA,NA,NA,NA,"june.30",NA,0.087,31.5,21.198347107438,"Semi-arid 3","C3 7"
"319",-0.382881702395304,319,"Cuyama","C3",8,"ephedra",1.1774,495,475,195,0,0,23,25,0,75,NA,NA,NA,NA,NA,NA,"june.30",NA,0.087,31.5,21.198347107438,"Semi-arid 3","C3 8"
"321",-0.224638287195785,321,"Cuyama","C3",9,"ephedra",2.7813,305,130,115,0,0,34,30,0,70,NA,NA,"Y","Y","june.28","july.1","july.1",NA,0.087,31.5,21.198347107438,"Semi-arid 3","C3 9"
"323",-0.405815672745195,323,"Cuyama","C3",10,"ephedra",3.6168,250,240,145,1,1,37,95,0,50,NA,NA,NA,NA,NA,NA,"june.30",NA,0.087,31.5,21.198347107438,"Semi-arid 3","C3 10"
"325",0.0622838685160555,325,"Cuyama","C3",11,"ephedra",1.3977,265,260,170,0,0,38,30,0,70,NA,NA,NA,NA,NA,NA,"june.30",NA,0.087,31.5,21.198347107438,"Semi-arid 3","C3 11"
"327",0.914347330729167,327,"Cuyama","C3",12,"ephedra",4.7047,235,235,130,1,1,30,50,0,80,NA,NA,"Y",NA,NA,NA,"june.30",NA,0.087,31.5,21.198347107438,"Semi-arid 3","C3 12"
"329",-0.543234233621335,329,"Cuyama","C3",13,"ephedra",0.3357,340,295,195,2,1,22,25,0,75,NA,NA,"Y",NA,NA,NA,"june.30",NA,0.087,31.5,21.198347107438,"Semi-arid 3","C3 13"
"331",0.0933712440664081,331,"Cuyama","C3",14,"ephedra",4.5376,315,305,155,1,0,36,75,0,25,NA,NA,NA,"Y","june.28","july.1","july.1",NA,0.087,31.5,21.198347107438,"Semi-arid 3","C3 14"
"333",-0.701661220043573,333,"Cuyama","C3",15,"ephedra",0.2191,280,250,145,1,0,26,20,0,80,NA,NA,NA,NA,NA,NA,"june.30",NA,0.087,31.5,21.198347107438,"Semi-arid 3","C3 15"
"335",0.261286339656527,335,"Cuyama","C3",16,"ephedra",2.8092,295,340,295,0,0,36,55,0,45,NA,NA,NA,NA,NA,NA,"june.30",NA,0.087,31.5,21.198347107438,"Semi-arid 3","C3 16"
"337",0.565766492005912,337,"Cuyama","C3",17,"ephedra",1.1654,390,350,165,2,0,41,40,0,50,10,NA,"Y",NA,NA,NA,"june.30",NA,0.087,31.5,21.198347107438,"Semi-arid 3","C3 17"
"339",0.111831822444514,339,"Cuyama","C3",18,"ephedra",4.2681,455,425,235,0,0,24,50,0,50,NA,NA,NA,"Y","june.28","july.1","july.1",NA,0.087,31.5,21.198347107438,"Semi-arid 3","C3 18"
"341",-0.918200208822762,341,"Cuyama","C3",19,"ephedra",0.5014,260,255,160,0,2,13,15,0,85,NA,NA,NA,NA,NA,NA,"june.30",NA,0.087,31.5,21.198347107438,"Semi-arid 3","C3 19"
"343",-0.871362619829198,343,"Cuyama","C3",20,"ephedra",0.4918,400,355,180,0,1,19,25,0,75,NA,NA,NA,NA,NA,NA,"june.30",NA,0.087,31.5,21.198347107438,"Semi-arid 3","C3 20"
"345",0.0859007436636819,345,"Cuyama","C3",21,"ephedra",2.862,490,450,235,3,3,40,15,0,65,20,NA,NA,NA,NA,NA,"june.30",NA,0.087,31.5,21.198347107438,"Semi-arid 3","C3 21"
"347",-0.456750163279419,347,"Cuyama","C3",22,"ephedra",5.6561,220,210,145,0,0,39,30,0,70,NA,NA,"Y","Y","june.28","july.1","july.1",NA,0.087,31.5,21.198347107438,"Semi-arid 3","C3 22"
"349",0.568714041362152,349,"Cuyama","C3",23,"ephedra",2.5221,310,290,225,0,1,34,55,0,45,NA,NA,NA,NA,NA,NA,"june.30",NA,0.087,31.5,21.198347107438,"Semi-arid 3","C3 23"
"351",-0.264964343225213,351,"Cuyama","C3",24,"ephedra",0.7988,630,440,245,2,0,22,8,0,92,NA,NA,NA,NA,NA,NA,"june.30",NA,0.087,31.5,21.198347107438,"Semi-arid 3","C3 24"
"353",1,353,"Cuyama","C3",25,"ephedra",0.7348,455,415,175,2,1,35,15,0,70,15,NA,NA,NA,NA,NA,"june.30",NA,0.087,31.5,21.198347107438,"Semi-arid 3","C3 25"
"355",1,355,"Cuyama","C3",26,"ephedra",0.0992,360,320,200,1,0,26,20,0,80,NA,NA,NA,"Y","june.28","july.1","july.1",NA,0.087,31.5,21.198347107438,"Semi-arid 3","C3 26"
"357",-0.735060042382859,357,"Cuyama","C3",27,"ephedra",0.2813,470,410,245,0,2,9,10,0,90,NA,NA,NA,NA,NA,NA,"june.30",NA,0.087,31.5,21.198347107438,"Semi-arid 3","C3 27"
"359",0.703182996898358,359,"Cuyama","C3",28,"ephedra",6.6993,330,310,155,1,0,39,70,0,30,NA,NA,NA,NA,NA,NA,"june.30",NA,0.087,31.5,21.198347107438,"Semi-arid 3","C3 28"
"361",-0.139249367293091,361,"Cuyama","C3",29,"ephedra",3.197,375,360,185,1,0,33,35,0,65,NA,NA,NA,"Y","june.28","july.1","july.1",NA,0.087,31.5,21.198347107438,"Semi-arid 3","C3 29"
"363",0.279147596736555,363,"Cuyama","C3",30,"ephedra",3.5355,370,360,185,3,0,26,75,0,25,NA,NA,"Y",NA,NA,NA,"june.30",NA,0.087,31.5,21.198347107438,"Semi-arid 3","C3 30"
"365",1,365,"Mojave","M1",1,"ephedra",2.4279,160,75,90,0,1,46,20,0,80,NA,NA,NA,NA,NA,NA,"july.6",NA,0.067,40.5,3.52750809061489,"Arid 8","M1 1"
"367",1,368,"Mojave","M1",2,"ephedra",0.8236,140,140,75,0,1,34,15,0,85,NA,NA,NA,"Y","july.4","july.7","july.7",NA,0.067,40.5,3.52750809061489,"Arid 8","M1 2"
"369",-1,371,"Mojave","M1",3,"ephedra",0,130,75,90,0,0,8,4,0,96,NA,NA,NA,NA,NA,NA,"july.6",NA,0.067,40.5,3.52750809061489,"Arid 8","M1 3"
"371",0.00732297698930662,374,"Mojave","M1",4,"ephedra",1.6438,110,65,80,1,0,22,25,0,75,NA,NA,NA,NA,NA,NA,"july.6",NA,0.067,40.5,3.52750809061489,"Arid 8","M1 4"
"373",1,377,"Mojave","M1",5,"ephedra",2.8529,215,135,110,0,1,55,20,0,60,20,NA,NA,NA,NA,NA,"july.6",NA,0.067,40.5,3.52750809061489,"Arid 8","M1 5"
"375",0.557539297496604,380,"Mojave","M1",6,"ephedra",0.8026,235,205,100,0,2,23,5,0,95,NA,NA,NA,"Y","july.4","july.7","july.7",NA,0.067,40.5,3.52750809061489,"Arid 8","M1 6"
"377",-1,383,"Mojave","M1",7,"ephedra",0,100,85,75,3,0,29,15,0,85,NA,NA,NA,NA,NA,NA,"july.6",NA,0.067,40.5,3.52750809061489,"Arid 8","M1 7"
"379",-0.485020503336818,386,"Mojave","M1",8,"ephedra",1.6012,95,85,70,2,0,15,40,0,60,NA,NA,"Y",NA,NA,NA,"july.6",NA,0.067,40.5,3.52750809061489,"Arid 8","M1 8"
"381",1,389,"Mojave","M1",9,"ephedra",4.5079,210,180,85,2,0,29,15,0,85,NA,NA,NA,NA,NA,NA,"july.6",NA,0.067,40.5,3.52750809061489,"Arid 8","M1 9"
"383",-0.536455142231948,392,"Mojave","M1",10,"ephedra",1.5888,185,175,120,1,0,15,15,0,85,NA,NA,NA,"Y","july.4","july.7","july.7",NA,0.067,40.5,3.52750809061489,"Arid 8","M1 10"
"385",-0.826287427422109,395,"Mojave","M1",11,"ephedra",0.9155,100,70,80,1,0,16,20,0,80,NA,NA,NA,NA,NA,NA,"july.6",NA,0.067,40.5,3.52750809061489,"Arid 8","M1 11"
"387",1,398,"Mojave","M1",12,"ephedra",0.2082,185,130,80,0,0,29,10,0,64,30,NA,NA,NA,NA,NA,"july.6",NA,0.067,40.5,3.52750809061489,"Arid 8","M1 12"
"389",1,401,"Mojave","M1",13,"ephedra",4.6911,125,105,100,2,0,25,30,0,70,NA,NA,NA,NA,NA,NA,"july.6",NA,0.067,40.5,3.52750809061489,"Arid 8","M1 13"
"391",1,404,"Mojave","M1",14,"ephedra",2.4993,275,210,150,0,5,40,25,0,75,NA,NA,NA,"Y","july.4","july.7","july.7",NA,0.067,40.5,3.52750809061489,"Arid 8","M1 14"
"393",1,407,"Mojave","M1",15,"ephedra",1.4538,240,125,120,3,1,35,25,0,50,5,20,NA,NA,NA,NA,"july.6",NA,0.067,40.5,3.52750809061489,"Arid 8","M1 15"
"395",-0.0472414932276181,410,"Mojave","M1",16,"ephedra",1.7304,140,120,110,1,0,17,15,0,85,NA,NA,NA,NA,NA,NA,"july.6",NA,0.067,40.5,3.52750809061489,"Arid 8","M1 16"
"397",0.425257951735312,413,"Mojave","M1",17,"ephedra",1.6714,180,125,120,0,0,20,10,0,90,NA,NA,NA,NA,NA,NA,"july.6",NA,0.067,40.5,3.52750809061489,"Arid 8","M1 17"
"399",-0.0208957210354695,416,"Mojave","M1",18,"ephedra",2.9426,160,130,70,2,1,26,8,0,92,NA,NA,NA,"Y","july.4","july.7","july.7",NA,0.067,40.5,3.52750809061489,"Arid 8","M1 18"
"401",0.949930521314268,419,"Mojave","M1",19,"ephedra",4.3501,215,210,115,3,0,29,25,0,75,NA,NA,NA,NA,NA,NA,"july.6",NA,0.067,40.5,3.52750809061489,"Arid 8","M1 19"
"403",-0.655474206850122,422,"Mojave","M1",20,"ephedra",0.6141,160,105,110,0,1,27,15,0,85,NA,NA,NA,NA,NA,NA,"july.6",NA,0.067,40.5,3.52750809061489,"Arid 8","M1 20"
"405",-0.281199068684517,425,"Mojave","M1",21,"ephedra",1.2349,225,155,110,2,1,39,20,0,65,15,NA,NA,NA,NA,NA,"july.6",NA,0.067,40.5,3.52750809061489,"Arid 8","M1 21"
"407",-0.0383953396001589,428,"Mojave","M1",22,"ephedra",0.7263,240,225,140,6,1,25,10,0,70,20,NA,NA,"Y","july.4","july.7","july.7",NA,0.067,40.5,3.52750809061489,"Arid 8","M1 22"
"409",1,431,"Mojave","M1",23,"ephedra",0.071,120,115,90,0,0,19,5,0,95,NA,NA,NA,NA,NA,NA,"july.6",NA,0.067,40.5,3.52750809061489,"Arid 8","M1 23"
"411",0.222650561123961,434,"Mojave","M1",24,"ephedra",2.1408,155,140,85,2,0,28,20,0,80,NA,NA,NA,NA,NA,NA,"july.6",NA,0.067,40.5,3.52750809061489,"Arid 8","M1 24"
"413",0.0633759614930867,437,"Mojave","M1",25,"ephedra",1.1267,225,180,100,6,0,18,2,0,98,NA,NA,NA,NA,NA,NA,"july.6",NA,0.067,40.5,3.52750809061489,"Arid 8","M1 25"
"415",-1,440,"Mojave","M1",26,"ephedra",0,150,145,95,1,1,6,3,0,97,NA,NA,NA,"Y","july.4","july.7","july.7",NA,0.067,40.5,3.52750809061489,"Arid 8","M1 26"
"417",0.883221128948731,443,"Mojave","M1",27,"ephedra",2.1819,220,180,105,6,0,32,15,0,85,NA,NA,NA,NA,NA,NA,"july.6","a lot of branches but they don't touch ground",0.067,40.5,3.52750809061489,"Arid 8","M1 27"
"419",1,446,"Mojave","M1",28,"ephedra",1.3746,190,170,115,1,1,28,5,0,95,NA,NA,NA,NA,NA,NA,"july.6",NA,0.067,40.5,3.52750809061489,"Arid 8","M1 28"
"421",1,449,"Mojave","M1",29,"ephedra",4.7343,220,145,95,0,0,37,35,0,65,NA,NA,NA,NA,NA,NA,"july.6",NA,0.067,40.5,3.52750809061489,"Arid 8","M1 29"
"423",-1,452,"Mojave","M1",30,"ephedra",0,260,145,100,0,0,36,30,0,70,NA,NA,NA,"Y","july.4","july.7","july.7",NA,0.067,40.5,3.52750809061489,"Arid 8","M1 30"
"425",0.370878103001111,455,"Mojave","M2",1,"ephedra",0.185,115,55,65,0,0,6,5,0,95,NA,NA,NA,NA,NA,NA,"july.7",NA,0.0346,39.2,4.54545454545455,"Arid 7","M2 1"
"427",-0.468742489384998,458,"Mojave","M2",2,"ephedra",0.9947,255,210,115,0,0,24,10,0,90,NA,NA,NA,"Y","july.4","july.7","july.7",NA,0.0346,39.2,4.54545454545455,"Arid 7","M2 2"
"429",1,461,"Mojave","M2",3,"ephedra",2.3849,265,255,140,2,0,20,20,0,80,NA,NA,NA,NA,NA,NA,"july.7",NA,0.0346,39.2,4.54545454545455,"Arid 7","M2 3"
"431",0.834734538753887,464,"Mojave","M2",4,"ephedra",1.5931,180,180,100,0,0,26,25,0,75,NA,NA,NA,NA,NA,NA,"july.7",NA,0.0346,39.2,4.54545454545455,"Arid 7","M2 4"
"433",0.660281690140845,467,"Mojave","M2",5,"ephedra",1.7682,120,105,70,0,0,29,15,0,85,NA,NA,NA,NA,NA,NA,"july.7",NA,0.0346,39.2,4.54545454545455,"Arid 7","M2 5"
"435",0.910015538917926,470,"Mojave","M2",6,"ephedra",1.3521,200,200,110,0,0,23,20,0,80,NA,NA,NA,"Y","july.4","july.7","july.7",NA,0.0346,39.2,4.54545454545455,"Arid 7","M2 6"
"437",0.729833057219319,473,"Mojave","M2",7,"ephedra",4.0722,235,200,135,0,0,40,35,0,65,NA,NA,NA,NA,NA,NA,"july.7",NA,0.0346,39.2,4.54545454545455,"Arid 7","M2 7"
"439",1,476,"Mojave","M2",8,"ephedra",1.118,305,205,130,1,0,26,20,0,80,NA,NA,NA,NA,NA,NA,"july.7",NA,0.0346,39.2,4.54545454545455,"Arid 7","M2 8"
"441",1,479,"Mojave","M2",9,"ephedra",5.4802,155,115,100,1,0,29,35,0,65,NA,NA,NA,NA,NA,NA,"july.7",NA,0.0346,39.2,4.54545454545455,"Arid 7","M2 9"
"443",1,482,"Mojave","M2",10,"ephedra",0.9115,315,180,130,0,0,27,20,0,80,NA,NA,NA,"Y","july.4","july.7","july.7",NA,0.0346,39.2,4.54545454545455,"Arid 7","M2 10"
"445",0.589300966509328,485,"Mojave","M2",11,"ephedra",1.7677,225,215,110,0,0,19,20,0,80,NA,NA,NA,NA,NA,NA,"july.7",NA,0.0346,39.2,4.54545454545455,"Arid 7","M2 11"
"447",0.999762385648093,488,"Mojave","M2",12,"ephedra",0.8416,155,135,95,0,0,16,10,0,90,NA,NA,NA,NA,NA,NA,"july.7",NA,0.0346,39.2,4.54545454545455,"Arid 7","M2 12"
"449",0.518239585784891,491,"Mojave","M2",13,"ephedra",0.6451,205,150,125,0,1,22,15,0,85,NA,NA,NA,NA,NA,NA,"july.7",NA,0.0346,39.2,4.54545454545455,"Arid 7","M2 13"
"451",0.598803772716816,494,"Mojave","M2",14,"ephedra",0.3475,220,190,110,0,0,29,25,0,75,NA,NA,NA,"Y","july.4","july.7","july.7",NA,0.0346,39.2,4.54545454545455,"Arid 7","M2 14"
"453",1,497,"Mojave","M2",15,"ephedra",2.0914,225,225,105,0,1,29,25,0,75,NA,NA,NA,NA,NA,NA,"july.7",NA,0.0346,39.2,4.54545454545455,"Arid 7","M2 15"
"455",0.972325179145046,500,"Mojave","M2",16,"ephedra",3.1928,190,160,95,0,0,28,25,0,75,NA,NA,NA,NA,NA,NA,"july.7",NA,0.0346,39.2,4.54545454545455,"Arid 7","M2 16"
"457",1,503,"Mojave","M2",17,"ephedra",3.4664,165,145,115,0,0,28,25,0,75,NA,NA,NA,NA,NA,NA,"july.7",NA,0.0346,39.2,4.54545454545455,"Arid 7","M2 17"
"459",0.34591401378405,506,"Mojave","M2",18,"ephedra",0.8202,185,175,85,0,0,28,35,0,65,NA,NA,NA,"Y","july.5","july.8","july.8",NA,0.0346,39.2,4.54545454545455,"Arid 7","M2 18"
"461",0.854025814382299,509,"Mojave","M2",19,"ephedra",3.0165,245,190,115,2,0,3,20,0,80,NA,NA,NA,NA,NA,NA,"july.7",NA,0.0346,39.2,4.54545454545455,"Arid 7","M2 19"
"463",0.922918992904225,512,"Mojave","M2",20,"ephedra",2.6693,180,170,95,0,0,28,30,0,70,NA,NA,NA,NA,NA,NA,"july.7",NA,0.0346,39.2,4.54545454545455,"Arid 7","M2 20"
"465",0.491823511261956,515,"Mojave","M2",21,"ephedra",0.4835,140,115,110,0,0,21,2,0,53,45,NA,NA,NA,NA,NA,"july.7",NA,0.0346,39.2,4.54545454545455,"Arid 7","M2 21"
"467",0.0453377582699925,518,"Mojave","M2",22,"ephedra",1.9529,170,120,75,0,0,24,20,0,80,NA,NA,NA,"N","july.5","july.8","july.8","pitfall out",0.0346,39.2,4.54545454545455,"Arid 7","M2 22"
"469",-0.477179929226023,521,"Mojave","M2",23,"ephedra",0.2881,110,110,85,0,2,16,15,0,85,NA,NA,NA,NA,NA,NA,"july.7",NA,0.0346,39.2,4.54545454545455,"Arid 7","M2 23"
"471",0.328166858017604,524,"Mojave","M2",24,"ephedra",1.3882,130,80,100,0,0,25,25,0,75,NA,NA,NA,NA,NA,NA,"july.7",NA,0.0346,39.2,4.54545454545455,"Arid 7","M2 24"
"473",0.802472565634116,527,"Mojave","M2",25,"ephedra",1.9464,220,145,115,1,0,26,30,0,70,NA,NA,NA,NA,NA,NA,"july.7",NA,0.0346,39.2,4.54545454545455,"Arid 7","M2 25"
"475",0.576898648035568,530,"Mojave","M2",26,"ephedra",1.7379,130,130,110,0,0,13,25,0,75,NA,NA,NA,"Y","july.5","july.8","july.8",NA,0.0346,39.2,4.54545454545455,"Arid 7","M2 26"
"477",0.645761145761146,533,"Mojave","M2",27,"ephedra",1.4249,190,185,95,0,0,14,25,0,75,NA,NA,NA,NA,NA,NA,"july.7",NA,0.0346,39.2,4.54545454545455,"Arid 7","M2 27"
"479",1,536,"Mojave","M2",28,"ephedra",1.2152,260,220,155,0,0,28,8,0,92,NA,NA,NA,NA,NA,NA,"july.7",NA,0.0346,39.2,4.54545454545455,"Arid 7","M2 28"
"481",0.382135950146838,539,"Mojave","M2",29,"ephedra",0.9648,110,95,70,0,0,15,6,0,94,NA,NA,NA,NA,NA,NA,"july.7",NA,0.0346,39.2,4.54545454545455,"Arid 7","M2 29"
"483",0.868531682335856,542,"Mojave","M2",30,"ephedra",1.2223,210,170,130,0,0,20,10,0,65,25,NA,NA,"Y","july.5","july.8","july.8",NA,0.0346,39.2,4.54545454545455,"Arid 7","M2 30"
